dataset_source,dataset_version,concept_type,source_domain,external_skill_id,preferred_name,category,description,mapping_status
O*NET Database,31.0,technology,onet_software_skills,2.E.7.e|Advanced business application programming ABAP,Advanced business application programming ABAP,Object or component oriented development software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.2.c|Advanced Micro Systems 1099-Etc,Advanced Micro Systems 1099-Etc,Tax preparation software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.i|Advantage Software Physical Therapy Advantage,Advantage Software Physical Therapy Advantage,Medical software,,pending
O*NET Database,31.0,technology,onet_software_skills,"2.E.5.a|Adxstudio, for Microsoft","Adxstudio, for Microsoft",Content workflow software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.h|Ahrefs Site Explorer,Ahrefs Site Explorer,Web platform development software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.f|Airtable,Airtable,Data base user interface and query software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.h|AJAX,AJAX,Web platform development software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|Algorithmic language ALGOL,Algorithmic language ALGOL,Development environment software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.h|Allaire ColdFusion,Allaire ColdFusion,Web platform development software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.g|Allen Bradley PanelView,Allen Bradley PanelView,Industrial control software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.i|Allscripts EHR,Allscripts EHR,Medical software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.i|Allscripts Professional EHR,Allscripts Professional EHR,Medical software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|Altera hardware description language AHDL,Altera hardware description language AHDL,Development environment software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.m|Alteryx software,Alteryx software,Business intelligence and data analysis software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.d|Altia Design,Altia Design,Graphical user interface development software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.i|Altova MapForce,Altova MapForce,Metadata management software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.i|Amazing Charts,Amazing Charts,Medical software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.d|Amazon DynamoDB,Amazon DynamoDB,Data base management system software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.f|Amazon Elastic Compute Cloud EC2,Amazon Elastic Compute Cloud EC2,Data base user interface and query software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.d|Amazon Kinesis,Amazon Kinesis,Data base management system software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.f|Amazon Redshift,Amazon Redshift,Data base user interface and query software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.12.f|Amazon Simple Storage Service S3,Amazon Simple Storage Service S3,Storage networking software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.11.e|Amazon Web Services AWS CloudFormation,Amazon Web Services AWS CloudFormation,Cloud-based management software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.11.e|Amazon Web Services AWS SageMaker,Amazon Web Services AWS SageMaker,Cloud-based management software,,pending
