career_name,onet_soc_code,onet_title,source_domain,concept_type,external_skill_id,technology_name,software_category_id,software_category_name,hot_technology,in_demand,score_eligible
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.6.l|Customer information control system CICS,Customer information control system CICS,2.E.6.l,Transaction server software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.2.d|Delphi Technology,Delphi Technology,2.E.2.d,Financial analysis software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.2.d|Delphi Technology,Delphi Technology,2.E.2.d,Financial analysis software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.a|Diameter,Diameter,2.E.14.a,Authentication server software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.a|Diameter,Diameter,2.E.14.a,Authentication server software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.h|Django,Django,2.E.7.h,Web platform development software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.h|Django,Django,2.E.7.h,Web platform development software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.10.a|Docker,Docker,2.E.10.a,Application server software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.10.a|Docker,Docker,2.E.10.a,Application server software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.10.d|Domain name system DNS,Domain name system DNS,2.E.10.d,Internet directory services software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.10.d|Domain name system DNS,Domain name system DNS,2.E.10.d,Internet directory services software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.h|Drupal,Drupal,2.E.7.h,Web platform development software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.h|Drupal,Drupal,2.E.7.h,Web platform development software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.b|Eclipse IDE,Eclipse IDE,2.E.7.b,Development environment software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.b|Eclipse IDE,Eclipse IDE,2.E.7.b,Development environment software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.6.d|Elasticsearch,Elasticsearch,2.E.6.d,Data base management system software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.6.d|Elasticsearch,Elasticsearch,2.E.6.d,Data base management system software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.9.o|eMASS,eMASS,2.E.9.o,Risk management data and analysis software,N,Y,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.9.o|eMASS,eMASS,2.E.9.o,Risk management data and analysis software,N,Y,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.d|End-to-end encryption software,End-to-end encryption software,2.E.14.d,Transaction security and virus protection software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.d|End-to-end encryption software,End-to-end encryption software,2.E.14.d,Transaction security and virus protection software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.h|Enterprise JavaBeans,Enterprise JavaBeans,2.E.7.h,Web platform development software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.h|Enterprise JavaBeans,Enterprise JavaBeans,2.E.7.h,Web platform development software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.9.i|Epic Systems,Epic Systems,2.E.9.i,Medical software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.9.i|Epic Systems,Epic Systems,2.E.9.i,Medical software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.8.h|ESRI ArcGIS software,ESRI ArcGIS software,2.E.8.h,Geographic information system,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.8.h|ESRI ArcGIS software,ESRI ArcGIS software,2.E.8.h,Geographic information system,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.11.a|Ethereal,Ethereal,2.E.11.a,Network monitoring software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.11.a|Ethereal,Ethereal,2.E.11.a,Network monitoring software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.h|Extensible hypertext markup language XHTML,Extensible hypertext markup language XHTML,2.E.7.h,Web platform development software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.h|Extensible hypertext markup language XHTML,Extensible hypertext markup language XHTML,2.E.7.h,Web platform development software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.c|Extensible markup language XML,Extensible markup language XML,2.E.7.c,Enterprise application integration software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.c|Extensible markup language XML,Extensible markup language XML,2.E.7.c,Enterprise application integration software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.c|Firewall software,Firewall software,2.E.14.c,Network security and virtual private network VPN equipment software,N,Y,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.c|Firewall software,Firewall software,2.E.14.c,Network security and virtual private network VPN equipment software,N,Y,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.8.h|Geographic information system GIS software,Geographic information system GIS software,2.E.8.h,Geographic information system,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.8.h|Geographic information system GIS software,Geographic information system GIS software,2.E.8.h,Geographic information system,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.5.c|Git,Git,2.E.5.c,File versioning software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.5.c|Git,Git,2.E.5.c,File versioning software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.10.a|GitHub,GitHub,2.E.10.a,Application server software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.10.a|GitHub,GitHub,2.E.10.a,Application server software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.b|Go,Go,2.E.7.b,Development environment software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.b|Go,Go,2.E.7.b,Development environment software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.h|Google Angular,Google Angular,2.E.7.h,Web platform development software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.h|Google Angular,Google Angular,2.E.7.h,Web platform development software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.4.g|Google Sites,Google Sites,2.E.4.g,Web page creation and editing software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.4.g|Google Sites,Google Sites,2.E.4.g,Web page creation and editing software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.11.a|Guidance Software EnCase Forensic,Guidance Software EnCase Forensic,2.E.11.a,Network monitoring software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.11.a|Guidance Software EnCase Forensic,Guidance Software EnCase Forensic,2.E.11.a,Network monitoring software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.13.c|Hewlett Packard HP-UX,Hewlett Packard HP-UX,2.E.13.c,Operating system software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.13.c|Hewlett Packard HP-UX,Hewlett Packard HP-UX,2.E.13.c,Operating system software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.d|Honeypot,Honeypot,2.E.14.d,Transaction security and virus protection software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.d|Honeypot,Honeypot,2.E.14.d,Transaction security and virus protection software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.b|HP Fortify,HP Fortify,2.E.14.b,Network security or virtual private network VPN management software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.b|HP Fortify,HP Fortify,2.E.14.b,Network security or virtual private network VPN management software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.d|HP WebInspect,HP WebInspect,2.E.14.d,Transaction security and virus protection software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.d|HP WebInspect,HP WebInspect,2.E.14.d,Transaction security and virus protection software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.1.c|Human resource management software HRMS,Human resource management software HRMS,2.E.1.c,Human resources software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.1.c|Human resource management software HRMS,Human resource management software HRMS,2.E.1.c,Human resources software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.h|Hypertext markup language HTML,Hypertext markup language HTML,2.E.7.h,Web platform development software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.h|Hypertext markup language HTML,Hypertext markup language HTML,2.E.7.h,Web platform development software,Y,N,true
