source_key,dataset_source,dataset_version,concept_type,source_domain,external_skill_id,preferred_name,normalized_name,category,description,alt_labels
ESCO|esco_skills|http://data.europa.eu/esco/skill/f5b33464-4df9-4cf3-b468-b0a2d6b3ee85,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/f5b33464-4df9-4cf3-b468-b0a2d6b3ee85,operate 3D computer graphics software,operate 3d computer graphics software,sector-specific,"Use graphical ICT tools, such as Autodesk Maya, Blender which enable digital editing, modelling, rendering and composition of graphics. These tools are based in mathematical representation of three-dimensional objects.",use 3D visualization and processing software
ESCO|esco_skills|http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,operate open source software,operate open source software,sector-specific,"Operate Open Source software, knowing the main Open Source models, licensing schemes, and the coding practices commonly adopted in the production of Open Source software.","know open-source software licensing schemes
know open-source software coding practices
know open-source licensing schemes
know open-source coding practices
manage open-source software"
ESCO|esco_skills|http://data.europa.eu/esco/skill/d8045ecd-22f3-4711-bb51-58969d9f28c7,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/d8045ecd-22f3-4711-bb51-58969d9f28c7,operate precision machinery,operate precision machinery,cross-sector,Operate machinery used for the making of small systems or components with a high level of precision.,"tend precision machinery
precision machinery tending
precision machinery operating
tending precision machinery
operating precision machinery"
ESCO|esco_skills|http://data.europa.eu/esco/skill/7369f779-4b71-4aab-8836-48b69c676eec,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/7369f779-4b71-4aab-8836-48b69c676eec,operate relational database management system,operate relational database management system,sector-specific,"Extract, store and verify information using database management systems based on the relational database model, which arranges data into tables of rows and columns, such as Oracle Database, Microsoft SQL Server and MySQL.",DBMS
ESCO|esco_skills|http://data.europa.eu/esco/skill/f774cc69-f0cf-4767-bf13-9b16dc7f7c07,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/f774cc69-f0cf-4767-bf13-9b16dc7f7c07,operate ship propulsion system,operate ship propulsion system,sector-specific,"Perform start-up and subsequent observation of the working parameters of the ship's propulsion system. Check the operating parameters of electric generators in the switchboard, power sources and electrical and electronic equipment and navigation lights. Verify that the operating parameters of pneumatic and hydraulic systems are within the values. Perform simple maintenance procedures, repair and replacement of damaged items.","operating ship propulsion system
propulsion of the ship and auxiliary devices
monitor ship propulsion system
ship propulsion system monitoring
ship propulsion system operation
monitoring ship propulsion system"
O*NET Database|onet_transferable_skills|2.B.3.h,O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.h,Operation and Control,operation and control,Transferable Skill,Controlling operations of equipment or systems.,
O*NET Database|onet_transferable_skills|2.B.3.a,O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.a,Operations Analysis,operations analysis,Transferable Skill,Analyzing needs and product requirements to create a design.,
O*NET Database|onet_transferable_skills|2.B.3.g,O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.g,Operations Monitoring,operations monitoring,Transferable Skill,"Watching gauges, dials, or other indicators to make sure a machine is working properly.",
ESCO|esco_skills|http://data.europa.eu/esco/skill/798d427e-51b3-4cd4-8b24-1357015e9ae7,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/798d427e-51b3-4cd4-8b24-1357015e9ae7,optimise production,optimise production,sector-specific,"Analyse and identify the strengths and weaknesses of solutions, conclusions or approaches to problems; formulate and plan alternatives.","production efficiency optimising
maximise production efficiency
optimising production efficiency
optimising production
production optimising
optimize production"
ESCO|esco_skills|http://data.europa.eu/esco/skill/0f0698e7-04e4-4bf7-9af2-e3191147525a,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/0f0698e7-04e4-4bf7-9af2-e3191147525a,optimise production processes parameters,optimise production processes parameters,cross-sector,"Optimise and maintain the parameters of the production process such as flow, temperature or pressure.","optimize production processes parameters
production processes parameters maintaining
maintain production processes parameters
production processes parameter maintaining
production processes parameter optimising
maintaining production processes parameters
optimising production processes parameters
production processes parameters optimising"
